,type,numNodes,numEdges,sampnodes,sampedges,Samplingrate,ActualDensity,SampledDensity,ActualCommunitysize,SampledCommunitysize,actualmodularity,sampledmodularity,Lcommsize_act1,Lcommsize_samp1,Lcommsize_act2,Lcommsize_samp2,Lcommsize_act3,Lcommsize_samp3,Clustcoeff_act,Clustcoeff_samp,diameter_act,diameter_samp,ks_deg,pval_deg,ks_cc,pval_cc,ks_pg,pval_pg
30,RE,2000,299850,1992,59970,0.2,448.6158273,90.53138686,12,70,0.247529805,0.24417226,502,512,501,493,500,488,0.374924956,0.114233293,4,6,0.535889558,0,0.884006569,0,0.014588353,0.983673462
31,RE,2000,299850,1988,59970,0.2,448.6158273,90.33766234,12,66,0.247529805,0.250085026,502,514,501,496,500,477,0.374924956,0.115253998,4,5,0.53284507,0,0.879428934,0,0.013253521,0.994776223
32,RE,2000,299850,1991,59970,0.2,448.6158273,90.10364146,12,104,0.247529805,0.241961569,502,507,501,496,500,482,0.374924956,0.113741258,4,5,0.533448518,0,0.874374683,0,0.01391788,0.990366526
33,RE,2000,299850,1987,59970,0.2,448.6158273,90.57464789,12,90,0.247529805,0.243242398,502,503,501,495,500,475,0.374924956,0.115528571,4,5,0.533469552,0,0.886505084,0,0.013861349,0.990873766
34,RE,2000,299850,1989,59970,0.2,448.6158273,90.23001403,12,85,0.247529805,0.247265324,502,507,501,504,500,487,0.374924956,0.115008689,4,6,0.531761689,0,0.880571066,0,0.011811463,0.999053162
35,RE,2000,299850,1986,59970,0.2,448.6158273,90.10404624,12,88,0.247529805,0.244635075,502,511,501,491,500,477,0.374924956,0.115082127,4,5,0.534396777,0,0.881840295,0,0.01622709,0.955569285
36,RE,2000,299850,1983,59970,0.2,448.6158273,90.44755245,12,80,0.247529805,0.242534205,502,505,501,498,500,471,0.374924956,0.114395356,4,6,0.536679778,0,0.871869919,0,0.012173475,0.998473717
37,RE,2000,299850,1987,59970,0.2,448.6158273,90.66570188,12,73,0.247529805,0.235996023,502,511,501,504,500,472,0.374924956,0.11530623,4,5,0.531936839,0,0.882110462,0,0.015464268,0.970980483
38,RE,2000,299850,1988,59970,0.2,448.6158273,90.20760234,12,77,0.247529805,0.245331019,502,506,501,502,500,500,0.374924956,0.114734451,4,6,0.535242455,0,0.887190766,0,0.015902414,0.9625722
39,RE,2000,299850,1992,59970,0.2,448.6158273,90.41597796,12,106,0.247529805,0.241917461,502,512,501,482,500,479,0.374924956,0.114717156,4,6,0.531508032,0,0.889203101,0,0.015218876,0.974926562
40,RE,2000,299850,1985,59970,0.2,448.6158273,90.19830028,12,81,0.247529805,0.245446682,502,511,501,507,500,482,0.374924956,0.114113662,4,5,0.536332494,0,0.891669548,0,0.013369018,0.994182517
41,RE,2000,299850,1991,59970,0.2,448.6158273,90.32137733,12,90,0.247529805,0.241260707,502,503,501,494,500,480,0.374924956,0.113958858,4,6,0.534306128,0,0.87898451,0,0.015450779,0.971080356
42,RE,2000,299850,1998,89955,0.3,448.6158273,135.3869626,12,53,0.247529805,0.246294364,502,506,501,501,500,498,0.374924956,0.164677673,4,5,0.416318819,0,0.754841574,0,0.009259259,0.999995213
43,RE,2000,299850,1993,89955,0.3,448.6158273,135.1223022,12,50,0.247529805,0.245391965,502,504,501,502,500,500,0.374924956,0.163373833,4,5,0.416452082,0,0.755972489,0,0.010369293,0.999922032
44,RE,2000,299850,1996,89955,0.3,448.6158273,135.2637518,12,61,0.247529805,0.246272415,502,508,501,490,500,487,0.374924956,0.163947185,4,5,0.414124248,0,0.754915323,0,0.010137275,0.999952751
45,RE,2000,299850,1990,89955,0.3,448.6158273,134.9859155,12,50,0.247529805,0.245026499,502,504,501,501,500,490,0.374924956,0.163160225,4,5,0.41469598,0,0.757974684,0,0.014233668,0.987552822
46,RE,2000,299850,1995,89955,0.3,448.6158273,135.4706724,12,46,0.247529805,0.246227428,502,508,501,495,500,490,0.374924956,0.164015787,4,5,0.417037594,0,0.745331234,0,0.010682957,0.999852071
47,RE,2000,299850,1996,89955,0.3,448.6158273,135.0719323,12,55,0.247529805,0.245981976,502,503,501,502,500,496,0.374924956,0.164297722,4,5,0.416186373,0,0.754167755,0,0.015471944,0.970535986
48,RE,2000,299850,1995,89955,0.3,448.6158273,135.1622003,12,49,0.247529805,0.243961245,502,502,501,499,500,490,0.374924956,0.163958696,4,5,0.416567669,0,0.753869894,0,0.014300752,0.98679098
49,RE,2000,299850,1994,89955,0.3,448.6158273,135.0745856,12,47,0.247529805,0.249152631,502,509,501,507,500,495,0.374924956,0.163364497,4,5,0.416029087,0,0.744418429,0,0.011125376,0.999670529
50,RE,2000,299850,1995,89955,0.3,448.6158273,134.6901408,12,57,0.247529805,0.243511885,502,504,501,500,500,497,0.374924956,0.163043009,4,5,0.419021303,0,0.759826788,0,0.013209273,0.994942415
51,RE,2000,299850,1996,89955,0.3,448.6158273,135.1732955,12,53,0.247529805,0.247206137,502,505,501,503,500,498,0.374924956,0.163378512,4,5,0.419660321,0,0.756519124,0,0.012630261,0.997272007
52,RE,2000,299850,1994,89955,0.3,448.6158273,134.5737931,12,54,0.247529805,0.24581939,502,511,501,494,500,494,0.374924956,0.162959717,4,5,0.41744333,0,0.741897281,0,0.010696088,0.999848668
53,RE,2000,299850,1999,89955,0.3,448.6158273,135.4519369,12,58,0.247529805,0.245508492,502,506,501,498,500,484,0.374924956,0.164227544,4,5,0.417415208,0,0.753020121,0,0.011523512,0.999366527
54,RE,2000,299850,1997,89955,0.3,448.6158273,135.0896159,12,53,0.247529805,0.245627731,502,503,501,502,500,494,0.374924956,0.163206982,4,6,0.415263395,0,0.745779879,0,0.011817476,0.999028901
55,RE,2000,299850,1996,89955,0.3,448.6158273,135.3098592,12,48,0.247529805,0.246216074,502,507,501,504,500,500,0.374924956,0.163877854,4,6,0.416191383,0,0.753052419,0,0.011078156,0.99969471
56,RE,2000,299850,1994,89955,0.3,448.6158273,135.1525424,12,58,0.247529805,0.245602936,502,507,501,499,500,486,0.374924956,0.16346518,4,6,0.415535105,0,0.764459909,0,0.016452859,0.949777487
57,RE,2000,299850,1998,89955,0.3,448.6158273,134.9985935,12,48,0.247529805,0.245305881,502,506,501,504,500,499,0.374924956,0.163823885,4,5,0.416343343,0,0.764522396,0,0.011646146,0.999240122
58,RE,2000,299850,1994,89955,0.3,448.6158273,135.2836257,12,42,0.247529805,0.247745693,502,504,501,502,500,500,0.374924956,0.164712346,4,5,0.420041123,0,0.759989924,0,0.010657472,0.999859573
59,RE,2000,299850,1994,89955,0.3,448.6158273,135.0014065,12,46,0.247529805,0.246635884,502,509,501,499,500,496,0.374924956,0.164393843,4,5,0.415026078,0,0.749043741,0,0.008968907,0.999998112
60,RE,2000,299850,1993,89955,0.3,448.6158273,134.5904486,12,49,0.247529805,0.244882897,502,504,501,497,500,496,0.374924956,0.163698548,4,5,0.416394129,0,0.76346371,0,0.01202584,0.998717484
61,RE,2000,299850,1991,89955,0.3,448.6158273,135.1051136,12,45,0.247529805,0.246295944,502,507,501,503,500,498,0.374924956,0.163968427,4,5,0.4172112,0,0.751858871,0,0.014750126,0.98169504
62,RE,2000,299850,1997,119940,0.4,448.6158273,179.8988439,12,32,0.247529805,0.246713072,502,510,501,503,500,499,0.374924956,0.20916316,4,5,0.324627441,0,0.590643502,0,0.011960691,0.998815794
63,RE,2000,299850,1995,119940,0.4,448.6158273,179.8480663,12,33,0.247529805,0.244586542,502,503,501,500,500,499,0.374924956,0.208851577,4,5,0.325894737,0,0.584952261,0,0.010588972,0.999876951
64,RE,2000,299850,2000,119940,0.4,448.6158273,180.3758967,12,43,0.247529805,0.248390347,502,503,501,500,500,499,0.374924956,0.209463561,4,5,0.325,0,0.580518556,0,0.012,0.998743538
65,RE,2000,299850,1996,119940,0.4,448.6158273,179.9913169,12,41,0.247529805,0.2462717,502,505,501,502,500,492,0.374924956,0.208747992,4,5,0.32352505,0,0.58384507,0,0.013606212,0.992611948
66,RE,2000,299850,1999,119940,0.4,448.6158273,179.8075314,12,43,0.247529805,0.247517213,502,503,501,501,500,499,0.374924956,0.20857662,4,5,0.323366933,0,0.58344857,0,0.010322411,0.999928273
67,RE,2000,299850,1998,119940,0.4,448.6158273,179.8895028,12,37,0.247529805,0.245155364,502,508,501,507,500,502,0.374924956,0.20785563,4,4,0.324751752,0,0.589084337,0,0.008373874,0.999999785
68,RE,2000,299850,1996,119940,0.4,448.6158273,179.8705036,12,33,0.247529805,0.246417671,502,509,501,505,500,498,0.374924956,0.208756183,4,5,0.323506012,0,0.583062249,0,0.013758517,0.991537862
69,RE,2000,299850,1996,119940,0.4,448.6158273,179.6418338,12,33,0.247529805,0.245575011,502,501,501,499,500,499,0.374924956,0.209216013,4,5,0.325004008,0,0.588987437,0,0.01006513,0.999959968
70,RE,2000,299850,1996,119940,0.4,448.6158273,180.6980057,12,36,0.247529805,0.245912313,502,505,501,504,500,495,0.374924956,0.207982765,4,5,0.323996994,0,0.582128959,0,0.010603206,0.999873097
71,RE,2000,299850,1998,119940,0.4,448.6158273,180.2628571,12,29,0.247529805,0.247505352,502,503,501,501,500,492,0.374924956,0.209040852,4,5,0.323750751,0,0.580403614,0,0.011538539,0.999353283
72,RE,2000,299850,1999,119940,0.4,448.6158273,180.3012912,12,47,0.247529805,0.245524243,502,503,501,502,500,501,0.374924956,0.208776643,4,5,0.322395698,0,0.590245098,0,0.009436218,0.999991954
73,RE,2000,299850,1997,119940,0.4,448.6158273,179.5820477,12,36,0.247529805,0.24737823,502,505,501,503,500,503,0.374924956,0.208787018,4,5,0.326630446,0,0.599985671,0,0.010982474,0.999741142
74,RE,2000,299850,1998,119940,0.4,448.6158273,180.0087336,12,30,0.247529805,0.246738762,502,510,501,501,500,501,0.374924956,0.208596982,4,4,0.322265265,0,0.583568273,0,0.008825826,0.999998821
75,RE,2000,299850,1998,119940,0.4,448.6158273,179.44,12,33,0.247529805,0.24748531,502,504,501,499,500,498,0.374924956,0.207982102,4,5,0.323317317,0,0.587941767,0,0.010654655,0.999858881
76,RE,2000,299850,1997,119940,0.4,448.6158273,179.6207865,12,40,0.247529805,0.244337395,502,501,501,496,500,494,0.374924956,0.208535358,4,5,0.325639459,0,0.595492462,0,0.009480721,0.999990942
77,RE,2000,299850,1998,119940,0.4,448.6158273,179.8263386,12,35,0.247529805,0.246965915,502,506,501,498,500,495,0.374924956,0.207785492,4,5,0.323750751,0,0.587184052,0,0.012642142,0.99722461
78,RE,2000,299850,1997,119940,0.4,448.6158273,180.4847605,12,32,0.247529805,0.246837527,502,505,501,502,500,492,0.374924956,0.208550586,4,5,0.322701803,0,0.592053159,0,0.010823235,0.999806076
79,RE,2000,299850,1998,119940,0.4,448.6158273,179.8111588,12,39,0.247529805,0.248060256,502,503,501,503,500,500,0.374924956,0.208167368,4,5,0.326253253,0,0.586869412,0,0.010876376,0.99978561
80,RE,2000,299850,1997,119940,0.4,448.6158273,179.6638177,12,39,0.247529805,0.247983098,502,501,501,500,500,498,0.374924956,0.208679299,4,5,0.323132699,0,0.587076305,0,0.01197997,0.998784426
81,RE,2000,299850,1997,119940,0.4,448.6158273,180.3085881,12,34,0.247529805,0.246831074,502,507,501,501,500,497,0.374924956,0.208427402,4,5,0.321704056,0,0.586435743,0,0.01106009,0.999703395
